Model_ID,Cell_line_Name,COSMIC_ID,TCGA_Classfication,Tissue,Tissue_subtype
SIDM00373,SNG-M,909735,UCEC,urogenital_system,endometrium
SIDM00374,SLVL,1331032,DLBC,blood,B_cell_lymphoma
SIDM00375,SKN-3,1299059,HNSC,aero_digestive_tract,head_and_neck
SIDM00377,SKN,1240215,UNCLASSIFIED,urogenital_system,uterus
SIDM00379,SK-MG-1,909729,GBM,nervous_system,glioma
SIDM00380,SKM-1,909722,UNCLASSIFIED,blood,haematopoietic_neoplasm_other
SIDM00381,SKG-IIIa,930298,CESC,urogenital_system,cervix
SIDM00382,SF126,909712,GBM,nervous_system,glioma
SIDM00383,SCH,909711,UNCLASSIFIED,digestive_system,stomach
SIDM00384,SCC-3,910930,DLBC,blood,B_cell_lymphoma
SIDM00387,MHH-NB-11,908135,NB,nervous_system,neuroblastoma
SIDM00388,MHH-PREB-1,908136,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00389,SU-DHL-10,1331033,DLBC,blood,B_cell_lymphoma
SIDM00390,SU-DHL-1,909742,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma
SIDM00391,SK-MM-2,753612,MM,blood,myeloma
SIDM00392,SK-MEL-30,909726,SKCM,skin,melanoma
SIDM00393,SK-GT-2,1503364,STAD,digestive_system,stomach
SIDM00394,SISO,1240212,CESC,urogenital_system,cervix
SIDM00395,SIMA,753620,NB,nervous_system,neuroblastoma
SIDM00396,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia
SIDM00401,RVH-421,909706,SKCM,skin,melanoma
SIDM00402,RT-112,909704,BLCA,urogenital_system,bladder
SIDM00403,RPMI-8402,909702,ALL,blood,lymphoblastic_T_cell_leukaemia
SIDM00404,SU-DHL-16,1331034,DLBC,blood,B_cell_lymphoma
SIDM00405,SU-DHL-4,1331035,DLBC,blood,B_cell_lymphoma
SIDM00406,SU-DHL-5,1331036,DLBC,blood,B_cell_lymphoma
SIDM00407,SU-DHL-6,1331037,DLBC,blood,B_cell_lymphoma
SIDM00410,YT,946358,ALL,blood,lymphoid_neoplasm_other
SIDM00411,YAPC,909904,PAAD,pancreas,pancreas
SIDM00412,WSU-NHL,909785,UNCLASSIFIED,blood,lymphoid_neoplasm_other
SIDM00413,WSU-DLCL2,1331050,DLBC,blood,B_cell_lymphoma
SIDM00415,ROS-50,1331025,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00416,VAL,1331048,DLBC,blood,B_cell_lymphoma
SIDM00417,U-266,753615,MM,blood,myeloma
SIDM00418,TT2609-C02,1240223,THCA,thyroid,thyroid
SIDM00419,TC-71,1240221,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00420,SW1710,909749,BLCA,urogenital_system,bladder
SIDM00421,SUP-M2,1331040,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma
SIDM00422,SUP-HD1,1331039,UNCLASSIFIED,blood,Hodgkin_lymphoma
SIDM00423,SU-DHL-8,1331038,DLBC,blood,B_cell_lymphoma
SIDM00424,U-698-M,909777,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00425,OVTOKO,1298365,OV,urogenital_system,ovary
SIDM00426,RH-41,1240210,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
SIDM00427,RH-1,971773,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
SIDM00429,NALM-6,908158,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00431,MOLT-16,908147,ALL,blood,lymphoblastic_T_cell_leukaemia
SIDM00433,MOLT-13,908146,ALL,blood,lymphoblastic_T_cell_leukaemia
SIDM00434,MOLP-8,1330950,MM,blood,myeloma
SIDM00437,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia
SIDM00438,MN-60,908143,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00441,ML-2,908141,LAML,blood,acute_myeloid_leukaemia
SIDM00442,ML-1,1240178,THCA,thyroid,thyroid
SIDM00443,NU-DUL-1,1330982,DLBC,blood,B_cell_lymphoma
SIDM00444,OACM5-1,1503363,ESCA,aero_digestive_tract,oesophagus
SIDM00445,OACp4C,1503362,ESCA,aero_digestive_tract,oesophagus
SIDM00446,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia
SIDM00447,REH,909696,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00448,RC-K8,1330995,DLBC,blood,B_cell_lymphoma
SIDM00449,RCH-ACV,1330994,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00450,PL-21,1330991,LAML,blood,acute_myeloid_leukaemia
SIDM00451,PF-382,909260,ALL,blood,lymphoblastic_T_cell_leukaemia
SIDM00453,PA-TU-8988T,1240201,PAAD,pancreas,pancreas
SIDM00454,RH-18,971774,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
SIDM00455,PA-TU-8902,1298526,PAAD,pancreas,pancreas
SIDM00457,OPM-2,909249,MM,blood,myeloma
SIDM00458,OCI-M1,1330985,LAML,blood,acute_myeloid_leukaemia
SIDM00460,OCI-LY-19,1330984,DLBC,blood,B_cell_lymphoma
SIDM00461,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia
SIDM00462,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia
SIDM00463,P12-ICHIKAWA,909251,ALL,blood,lymphoblastic_T_cell_leukaemia
SIDM00465,OVMIU,1240200,OV,urogenital_system,ovary
SIDM00466,OVKATE,1240199,OV,urogenital_system,ovary
SIDM00467,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia
SIDM00469,PSN1,910546,PAAD,pancreas,pancreas
SIDM00472,PEO1,1480372,OV,urogenital_system,ovary
SIDM00474,OV-7,1480360,OV,urogenital_system,ovary
SIDM00475,OV-56,1480362,OV,urogenital_system,ovary
SIDM00476,OV-17R,1480361,OV,urogenital_system,ovary
SIDM00477,OE33,910549,ESCA,aero_digestive_tract,oesophagus
SIDM00478,OE21,1298359,ESCA,aero_digestive_tract,oesophagus
SIDM00479,OE19,910079,ESCA,aero_digestive_tract,oesophagus
SIDM00480,OAW-42,910548,OV,urogenital_system,ovary
SIDM00481,OAW-28,946360,OV,urogenital_system,ovary
SIDM00482,RPMI-8866,910544,LCML,blood,chronic_myeloid_leukaemia
SIDM00483,SK-GT-4,1503365,ESCA,aero_digestive_tract,oesophagus
SIDM00484,TT,930299,THCA,thyroid,thyroid
SIDM00485,BICR22,1240121,HNSC,aero_digestive_tract,head_and_neck
SIDM00486,EBC-1,753554,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
SIDM00487,CCK-81,1240123,COREAD,digestive_system,large_intestine
SIDM00488,CaR-1,924108,COREAD,digestive_system,large_intestine
SIDM00489,Ca9-22,753538,HNSC,aero_digestive_tract,head_and_neck
SIDM00490,Becker,906746,GBM,nervous_system,glioma
SIDM00491,ASH-3,1290722,THCA,thyroid,thyroid
SIDM00492,AM-38,910933,GBM,nervous_system,glioma
SIDM00493,NCI-H292,753604,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma
SIDM00494,ABC-1,906791,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00495,A3-KAW,910935,DLBC,blood,B_cell_lymphoma
SIDM00496,HTC-C3,924151,THCA,thyroid,thyroid
SIDM00498,SNU-C5,1674021,COREAD,digestive_system,large_intestine
SIDM00499,22RV1,924100,PRAD,urogenital_system,prostate
SIDM00501,BICR78,1240122,HNSC,aero_digestive_tract,head_and_neck
